@relation trai_norm_email_features_50_50_no_pid

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.025155,0.036715,0.095801,0.033248,0.462151,0.071092,0.083436,0.279433,0.072861,0.541768,0.027226,0.016792,0.042341,0.2931,0.02394,0.4914,0.137717,0.129032,0.059233,0.12841,0.285199,0.666667,0.875,0.87037,0.873016,0.031446,0.614261,0.015884,0.385739,0,0,0.081094,0.623974,0.04898,0.376026,0,0,0.118002,0.133891,0.173738,0.074295,0.027974,0.003497,0.008395,0.22799,0.052753,0.377233,0.020288,0.198829,0.076923,0.457583,0.025559,0.072481,0.038592,0.01367,0.051295,0.2,0.428571,0.025588,0.7415,0.011265,0.067055,0.051724,0.439951,0.053892,0.265641,0.086544,0.49058,0.074902,0.749541,0.129406,0.031327,0.260904,0.228151,0.600791,0.358898,0.363636,0.511257,0.338462,0.647059,0.876085,0.046731,0.230242,0.629258,0.368162,0.03223,0.129652,0.290873,0.135836,1,0.067084,0.067185,0.017507,0.017507,0.018998,0.018998,0.466667,1,0.358209,0,0.202247,0.484211,Research
0.001477,0.003643,0.245931,0.002771,0.692253,0.010413,0.018541,0.481915,0.010522,0.555367,0.001764,0,0,0,0,0,0.009773,0.026882,0.243887,0.007319,0.091203,0.928571,0.920455,0.907407,0.920635,0.002282,0.775561,0.000654,0.224439,0,0,0.009971,0.477285,0.010532,0.522715,0,0,0.057074,0.108193,0.223318,0.089018,0.130781,0.001007,0.000585,0.224168,0.003239,0.137315,0.001702,0.23536,0.004833,0.246659,0.001768,0.012924,0.004549,0.000827,0.003753,0.17,0.183673,0.002064,0.8442,0.000966,0.081216,0.006563,0.435391,0.006843,0.199603,0.026671,0.430719,0.048944,0.860265,0.001005,0,0.769757,0.509239,1,0.926124,0.132075,0.092913,0.046154,0.161765,0.395947,0.002158,0.013634,0.083906,0.025362,0,0.001008,0.887694,1,1,0.005961,0.007139,0.001222,0.001222,0.00148,0.00148,0.766667,1,0.850746,0,0,0.010526,GradStudent
0.000445,0.002242,0.465837,0.00099,0.65405,0.008305,0.014215,0.459929,0.009728,0.76202,0.000536,0,0,0,0,0,0.004887,0.016129,0.317954,0.006653,0.841725,0.857143,0.920455,0.888889,0.873016,0.000658,0.571698,0.000535,0.428302,0,0,0.007881,0.485313,0.008526,0.514687,0,0,0.136989,0.189433,0.068259,0.068349,0.003806,0.002209,0.000084,0.074723,0.004859,0.301174,0.000131,0.042248,0.007249,0.409355,0.000486,0.009908,0.002767,0.000127,0.004879,0.06,0.408163,0.000603,0.5758,0,0,0.0048,0.415932,0.005988,0.210526,0.058737,0.621437,0.036036,0.977415,0.005488,0.001235,0.455287,0.506819,0.809524,0.715441,0.2,0.083071,0.092308,0.147059,0.460635,0.0072,0.027787,0.072913,0.051945,0.001236,0.005502,0.322562,0.53421,1,0.008914,0.009343,0.004197,0.004197,0.004422,0.004422,0.666667,1,0.865672,1,0.022472,0.038596,GradStudent
0.002133,0.005045,0.219907,0.001979,0.208348,0.009297,0.016687,0.485106,0.012607,0.993686,0.002041,0,0,0,0,0,0.020435,0.021505,0.085831,0.023952,0.595668,0.761905,0.863636,0.87037,0.809524,0.001779,0.22224,0.003094,0.77776,0,0,0.010825,0.68929,0.006018,0.31071,0,0,0.39198,0.113959,0.184463,0.131608,0.015997,0.008345,0.000877,0.246609,0.014577,0.855028,0.002094,0.212493,0.020942,0.916328,0.002227,0.010042,0.004086,0.002352,0.008633,0.35,0.673469,0.002381,0.7143,0,0,0.005094,0.380055,0.011976,0.383813,0.221125,0.790223,0.155921,0.829553,0.005939,0,0.974178,0.363587,1,0.73733,0.153846,0.083071,0.030769,0.176471,0.457616,0.001583,0.009193,0.07386,0.017452,0,0.005954,0.35806,0.662639,1,0.005881,0.008712,0.014396,0.014396,0.014666,0.014666,0.733333,1,0.865672,1,0,0.049123,GradStudent
0.056686,0.053251,0.047589,0.045056,0.135302,0.283377,0.11063,0,0.293726,0.554395,0.053587,0.011219,0.019925,0.2065,0.01659,0.5097,0.632608,0.166667,0,0.671324,0.446703,0.892857,0.715909,0.981481,0.984127,0.07407,0.670646,0.030341,0.329354,0,0,0.251543,0.319102,0.321464,0.680898,0,0,0.415741,0.076525,0.383225,0.042567,0.061733,0.001238,0.01065,0.129346,0.175845,0.293262,0.030628,0.134133,0.228353,0.331493,0.056757,0.284341,0.120402,0.068413,0.232704,0.44,0.510204,0.028191,0.3651,0.132926,0.353603,0.234718,0.524932,0.313944,0.39573,0.127396,0.357304,0.156866,0.343055,0.124399,0.041707,0.260519,0.220486,0.632576,0.363148,0.487603,0.479353,0.523077,0.617647,0.97072,0.156733,0.608054,0.579372,0.726829,0.041755,0.124647,0.310364,0.256142,0,0.190973,0.182603,0.26803,0.26803,0.266799,0.266799,0.344444,0,0.38806,0,0.314607,0.252632,Director
0.000516,0.001121,0.308761,0.001055,0.618323,0,0,0.430142,0,0.782904,0.000605,0,0,0,0,0,0.000444,0,0.488491,0,0.049971,0.869048,1,1,1,0.000812,0.651013,0.000476,0.348987,0,0,0,0.905857,0,0.094143,0,0,0.062597,0.031108,0.522499,0.085401,0.328998,0.013729,0.000877,0.719236,0.001157,0.856049,0.002487,0.735917,0.001611,1,0.000466,0,0,0.000509,0,0.22,1,0.000603,0.5278,0,0,0,1,0,0,0.110943,0.07271,0.011962,0,0,0,0.931142,1,0,1,0.016949,0,0,0,0,0,0,0,0,0,0,0,0.992946,1,0,0,0.00056,0.00056,0.001459,0.001459,0.966667,1,1,1,0,0,GradStudent
0.087045,0.092209,0.056921,0.087473,0.266891,0.268191,0.26267,0.208156,0.261763,0.463575,0.08711,0.165026,0.172478,0.1215,0.207056,0.4325,0.336739,0.27957,0.048389,0.345975,0.404142,0.72619,0.602273,0.907407,0.793651,0.123695,0.779959,0.031055,0.220041,0,0,0.287627,0.537858,0.216984,0.462142,0,0,0.239428,0.048465,0.5196,0.094246,0.129713,0.007192,0.003717,0.02947,0.130727,0.203165,0.010864,0.031093,0.095852,0.132481,0.124704,0.385142,0.198372,0.122266,0.277368,0.52,0.714286,0.046541,0.3933,0.045381,0.078717,0.208464,0.476437,0.262618,0.349553,0.307319,0.508624,0.548209,0.499139,0.610915,0.334364,0.09343,0.031007,0.364898,0.042851,0.730769,0.949938,0.784615,0.970588,0.967759,0.168986,0.848688,0.962265,0.902023,0.334069,0.612164,0.236262,0.020712,0,0.198042,0.186601,0.117089,0.117089,0.115987,0.115987,0.155556,0,0.029851,0,0.786517,0.870175,Operations
0.014488,0.019619,0.091135,0.012798,0.189777,0.026528,0.03152,0.29078,0.030177,0.711268,0.013994,0.001158,0.006227,0.625,0.00189,0.5625,0.056419,0.086022,0.112839,0.056554,0.376591,0.714286,0.897727,0.796296,0.920635,0.013576,0.319146,0.016301,0.680854,0,0,0.028392,0.557745,0.021565,0.442255,0,0,0.311518,0.125704,0.639207,0.068882,0.215496,0.002248,0.001629,0.076079,0.008329,0.107198,0.004058,0.068461,0.00886,0.152818,0.014673,0.026989,0.017946,0.004578,0.017766,0.11,0.387755,0.015556,0.7753,0.005793,0.05935,0.021454,0.536485,0.027374,0.346077,0.168395,0.532247,0.089937,0.462078,0.061266,0.051075,0.290521,0.305933,0.602339,0.47835,0.333333,0.334558,0.307692,0.470588,0.773631,0.087904,0.194059,0.391485,0.314159,0.051549,0.061554,0.278342,0.180072,0,0.04202,0.034509,0.014812,0.014812,0.01334,0.01334,0.5,0,0.537313,0,0.134831,0.196491,Research
0.02696,0.039798,0.096838,0.028564,0.299611,0.113921,0.102596,0.182624,0.099067,0.307916,0.02733,0.02859,0.054172,0.2203,0.035279,0.4253,0.337628,0.145161,0.014629,0.343979,0.393312,0.77381,0.806818,0.777778,0.84127,0.024716,0.301084,0.030817,0.698916,0,0,0.092109,0.232257,0.145102,0.767743,0,0,0.173149,0.092986,0.289528,0.072679,0.061546,0.003448,0.006933,0.175832,0.089079,0.403267,0.018979,0.173731,0.128474,0.475886,0.058963,0.250289,0.112561,0.015132,0.083948,0.2,0.428571,0.027525,0.7448,0.029611,0.164515,0.124216,0.77744,0.136869,0.425025,0.139779,0.476816,0.378005,0.65522,0.006048,0.000932,0.404606,0.493678,0.952381,0.859769,0.353383,0.222055,0.338462,0.338235,0.917041,0.05799,0.351502,0.295818,0.485345,0.000934,0.006064,0.494281,0.575346,0,0.070799,0.067044,0.115574,0.115574,0.113871,0.113871,0.477778,0,0.671642,0,0.078652,0.049123,Director
0.002954,0.005045,0.155728,0.004024,0.456845,0.009297,0.014215,0.406738,0.009728,0.604662,0.003183,0.001737,0.006849,0.4583,0.00294,0.5833,0.024434,0.043011,0.141381,0.023287,0.32149,0.964286,0.988636,1,1,0.004332,0.76441,0.001249,0.23559,0,0,0.01187,0.800219,0.004179,0.199781,0,0,0.092745,0.062447,0.189869,0.133074,0.021975,0.005387,0.001086,0.228977,0.00671,0.375702,0.003403,0.258924,0.010874,0.514817,0.005325,0.017631,0.008471,0.000509,0.006381,0.06,0.469388,0.00327,0.7357,0.000966,0.044565,0.006466,0.49772,0.003422,0.109732,0.088421,0.461227,0.215526,0.744675,0.00405,0.001246,0.443401,0.451103,0.833333,0.834534,0.184211,0.154812,0.123077,0.25,0.519474,0.007617,0.046663,0.167271,0.084958,0.001247,0.004061,0.45094,0.552427,1,0.010944,0.010459,0.001673,0.001673,0.001077,0.001077,0.688889,1,0.761194,0,0.033708,0.05614,GradStudent
